date,state,district,market,commodity,min_price,max_price,modal_price,arrival_quantity,temperature_max,temperature_min,precipitation,rain,latitude,longitude,year,msp_price,month,day_of_year,month_sin,month_cos,price_lag_1,price_lag_7,price_lag_14,price_lag_30,temp_max_lag_30,temp_max_lag_90,price_volatility_7d,price_volatility_30d,rain_cum_30d,rain_cum_90d,price_to_msp_ratio,near_msp_floor
2024-04-26,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4762.72,4959.8,4871.07,46.6,38.55,26.25,0.0,0.0,18.4386,79.1288,2024,7121,4,117,0.8660254037844387,-0.4999999999999998,5008.29,4998.58,5099.94,5123.84,36.45,0.0,95.00226097560153,96.44494865960586,19.099999699999998,0.0,0.6840429714927678,1
2024-04-27,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5079.52,5225.14,5151.88,44.72,39.65,27.0,0.0,0.0,18.4386,79.1288,2024,7121,4,118,0.8660254037844387,-0.4999999999999998,4871.07,4939.84,5046.12,5110.4,37.8,0.0,106.41117122701415,98.25650445258759,19.099999699999998,0.0,0.7234770397416094,1
2024-04-28,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4786.94,5002.0,4935.43,69.5,40.95,27.8,0.0,0.0,18.4386,79.1288,2024,7121,4,119,0.8660254037844387,-0.4999999999999998,5151.88,5009.52,4804.64,4980.2,37.35,0.0,112.14333997166364,99.0385742311909,19.099999699999998,0.0,0.6930810279455133,1
2024-04-29,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4788.75,4923.56,4856.17,31.35,40.45,28.35,0.0,0.0,18.4386,79.1288,2024,7121,4,120,0.8660254037844387,-0.4999999999999998,4935.43,5075.29,5167.27,4828.96,37.7,0.0,123.46730562032573,97.46351789554228,19.099999699999998,0.0,0.6819505687403454,1
2024-04-30,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4859.45,5093.07,4980.27,98.23,41.35,27.75,0.0,0.0,18.4386,79.1288,2024,7121,4,121,0.8660254037844387,-0.4999999999999998,4856.17,4930.74,4988.74,5173.83,36.7,0.0,121.12914247670922,92.37778732422383,19.099999699999998,0.0,0.6993778963628704,1
2024-05-01,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4733.86,4900.85,4784.54,66.27,41.7,28.35,0.0,0.0,18.4386,79.1288,2024,7121,5,122,0.49999999999999994,-0.8660254037844387,4980.27,5152.67,5046.34,4917.36,38.25,0.0,120.51105159753138,99.4605199610355,18.9999997,0.0,0.6718915882600758,1
2024-05-02,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4962.59,5224.34,5089.68,95.01,40.75,26.4,0.0,0.0,18.4386,79.1288,2024,7121,5,123,0.49999999999999994,-0.8660254037844387,4784.54,5008.29,5103.46,4984.98,38.3,0.0,131.50020988576426,100.84888440677938,18.9999997,0.0,0.7147423114731077,1
2024-05-03,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5016.19,5135.67,5067.74,31.19,40.95,25.45,0.0,0.0,18.4386,79.1288,2024,7121,5,124,0.49999999999999994,-0.8660254037844387,5089.68,4871.07,4998.58,4975.93,36.7,0.0,132.1559211508821,101.46681335950842,18.9999997,0.0,0.7116612835275944,1
2024-05-04,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4897.11,5094.1,5035.01,66.41,41.75,25.95,0.0,0.0,18.4386,79.1288,2024,7121,5,125,0.49999999999999994,-0.8660254037844387,5067.74,5151.88,4939.84,5017.96,39.45,0.0,112.92617618013418,101.59756579184155,18.8999997,0.0,0.7070650189580115,1
2024-05-05,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4919.74,5135.33,4998.09,39.45,41.25,26.75,0.0,0.0,18.4386,79.1288,2024,7121,5,126,0.49999999999999994,-0.8660254037844387,5035.01,4935.43,5009.52,4958.02,39.6,0.0,112.75628281513077,101.2324053587221,18.8999997,0.0,0.7018803538828816,1
2024-05-06,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4911.7,5114.52,5008.04,97.69,41.45,27.8,0.0,0.0,18.4386,79.1288,2024,7121,5,127,0.49999999999999994,-0.8660254037844387,4998.09,4856.17,5075.29,4967.25,39.9,0.0,100.45380757912015,100.97420512816308,18.8999997,0.0,0.703277629546412,1
2024-05-07,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4873.0,5099.05,4977.92,44.94,38.75,26.3,3.3000002,3.3000002,18.4386,79.1288,2024,7121,5,128,0.49999999999999994,-0.8660254037844387,5008.04,4980.27,4930.74,5057.2,40.3,0.0,100.51424018989759,100.64887217222164,22.1999999,0.0,0.6990478865327904,1
2024-05-08,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5056.71,5190.35,5114.49,85.56,37.1,25.6,0.0,0.0,18.4386,79.1288,2024,7121,5,129,0.49999999999999994,-0.8660254037844387,4977.92,4784.54,5152.67,5090.3,37.3,0.0,50.70485634673314,101.45575248897141,22.0999999,0.0,0.7182263727004634,1
2024-05-09,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4844.06,5028.14,4907.32,59.36,35.45,26.35,11.400002,11.400002,18.4386,79.1288,2024,7121,5,130,0.49999999999999994,-0.8660254037844387,5114.49,5089.68,5008.29,4840.98,35.75,0.0,66.31063837654405,98.43439530393103,32.9000019,0.0,0.6891335486588962,1
2024-05-10,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5055.44,5212.62,5107.93,56.15,36.9,25.35,0.0,0.0,18.4386,79.1288,2024,7121,5,131,0.49999999999999994,-0.8660254037844387,4907.32,5067.74,4871.07,5078.79,37.05,0.0,72.98958914673764,99.30451553900643,32.9000019,0.0,0.7173051537705379,1
2024-05-11,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4838.01,5015.41,4918.89,17.08,38.35,27.2,0.0,0.0,18.4386,79.1288,2024,7121,5,132,0.49999999999999994,-0.8660254037844387,5107.93,5035.01,5151.88,4989.9,33.6,0.0,81.98425324995307,100.59441920776274,28.700001900000004,0.0,0.6907583204606095,1
2024-05-12,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5213.73,5349.39,5274.37,56.24,37.95,28.65,4.9,4.9,18.4386,79.1288,2024,7121,5,133,0.49999999999999994,-0.8660254037844387,4918.89,4998.09,4935.43,5099.94,32.05,0.0,130.46053856936774,110.74807984324383,25.100001900000002,0.0,0.7406782755231007,1
2024-05-13,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4837.92,5063.88,4924.02,88.59,35.4,27.6,0.0,0.0,18.4386,79.1288,2024,7121,5,134,0.49999999999999994,-0.8660254037844387,5274.37,5008.04,4856.17,5046.12,34.45,0.0,137.9833063401925,111.67837210428013,25.100001900000002,0.0,0.6914787248981885,1
2024-05-14,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4915.52,5171.13,5056.74,84.93,36.95,25.85,3.1999998,3.1999998,18.4386,79.1288,2024,7121,5,135,0.49999999999999994,-0.8660254037844387,4924.02,4977.92,4980.27,4804.64,37.0,0.0,136.02395387787908,105.17459525862742,28.300001700000003,0.0,0.7101165566633899,1
2024-05-15,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4732.02,4925.54,4851.55,99.01,36.15,25.85,1.9,1.9,18.4386,79.1288,2024,7121,5,136,0.49999999999999994,-0.8660254037844387,5056.74,5114.49,4784.54,5167.27,38.5,0.0,148.82201219673723,105.31314188985449,30.2000017,0.0,0.6813017834573796,1
2024-05-16,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4942.86,5132.87,5014.35,60.34,32.7,25.5,6.8999996,6.8999996,18.4386,79.1288,2024,7121,5,137,0.49999999999999994,-0.8660254037844387,4851.55,4907.32,5089.68,4988.74,38.6,0.0,142.37247140611746,105.2764978635487,36.800001300000005,0.0,0.7041637410476057,1
2024-05-17,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4888.12,5109.42,4966.26,76.44,34.5,24.8,2.0,2.0,18.4386,79.1288,2024,7121,5,138,0.49999999999999994,-0.8660254037844387,5014.35,5107.93,5067.74,5046.34,39.55,0.0,137.97727683865057,105.24255980200282,38.800001300000005,0.0,0.6974104760567337,1
2024-05-18,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4865.64,4988.57,4933.26,77.37,34.65,25.55,6.7999997,6.7999997,18.4386,79.1288,2024,7121,5,139,0.49999999999999994,-0.8660254037844387,4966.26,4918.89,5035.01,5103.46,40.3,0.0,136.65461095491136,104.26067884058122,45.600001,0.0,0.6927762954641202,1
2024-05-19,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4745.24,4870.9,4802.18,87.83,34.3,25.0,0.3,0.3,18.4386,79.1288,2024,7121,5,140,0.49999999999999994,-0.8660254037844387,4933.26,5274.37,4998.09,4998.58,39.45,0.0,88.3376739185138,110.21876387856788,45.900001,0.0,0.6743687684314001,1
2024-05-20,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4893.12,5031.35,4965.53,79.87,35.0,26.0,3.3,3.3,18.4386,79.1288,2024,7121,5,141,0.49999999999999994,-0.8660254037844387,4802.18,4924.02,5008.04,4939.84,37.8,0.0,88.83203663844287,109.90329148219652,44.4000013,0.0,0.6973079623648364,1
2024-05-21,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4976.0,5167.07,5093.68,66.53,36.55,27.05,0.1,0.1,18.4386,79.1288,2024,7121,5,142,0.49999999999999994,-0.8660254037844387,4965.53,5056.74,4977.92,5009.52,39.1,0.0,97.49956473651487,111.4214124574938,44.1000013,0.0,0.7153040303328184,1
2024-05-22,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4986.16,5156.92,5093.67,38.29,37.45,26.85,4.3,4.3,18.4386,79.1288,2024,7121,5,143,0.49999999999999994,-0.8660254037844387,5093.68,4851.55,5114.49,5075.29,38.05,0.0,101.00766486710305,111.92686363933325,48.4000013,0.0,0.7153026260356692,1
2024-05-23,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4762.58,4924.3,4857.63,56.39,37.35,27.35,0.0,0.0,18.4386,79.1288,2024,7121,5,144,0.49999999999999994,-0.8660254037844387,5093.67,5014.35,4907.32,4930.74,36.85,0.0,109.46910336015577,114.16416148656722,48.4000013,0.0,0.6821555961241399,1
2024-05-24,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4809.2,5013.11,4921.31,14.99,40.5,28.55,0.1,0.1,18.4386,79.1288,2024,7121,5,145,0.49999999999999994,-0.8660254037844387,4857.63,4966.26,5107.93,5152.67,37.75,0.0,110.27990673088058,110.7909871583298,48.5000013,0.0,0.6910981603707345,1
2024-05-25,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4801.17,5060.43,4933.93,79.69,37.0,28.15,0.3,0.3,18.4386,79.1288,2024,7121,5,146,0.49999999999999994,-0.8660254037844387,4921.31,4933.26,4918.89,5008.29,38.8,0.0,110.26074859601067,111.09670543807927,48.8000013,0.0,0.6928703833731218,1
2024-05-26,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5049.6,5270.81,5124.32,26.54,39.5,28.05,0.0,0.0,18.4386,79.1288,2024,7121,5,147,0.49999999999999994,-0.8660254037844387,4933.93,4802.18,5274.37,4871.07,38.55,0.0,104.08822066378356,111.9093260419898,48.8000013,0.0,0.7196067967982025,1
2024-05-27,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4726.32,4989.84,4848.25,37.04,41.7,30.9,0.0,0.0,18.4386,79.1288,2024,7121,5,148,0.49999999999999994,-0.8660254037844387,5124.32,4965.53,4924.02,5151.88,39.65,0.0,118.70716416379298,110.63099423386001,48.8000013,0.0,0.6808383653981183,1
2024-05-28,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4856.76,5096.97,4976.17,17.05,40.35,30.8,0.0,0.0,18.4386,79.1288,2024,7121,5,149,0.49999999999999994,-0.8660254037844387,4848.25,5093.68,5056.74,4935.43,40.95,0.0,108.08687046383977,110.29654832971079,48.8000013,0.0,0.698802134531667,1
2024-05-29,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4823.2,5015.82,4947.72,63.67,40.4,31.3,0.0,0.0,18.4386,79.1288,2024,7121,5,150,0.49999999999999994,-0.8660254037844387,4976.17,5093.67,4851.55,4856.17,40.45,0.0,92.02162553805987,107.9135684394381,48.8000013,0.0,0.6948069091419745,1
2024-05-30,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4925.94,5156.63,5066.33,55.01,41.0,30.0,0.0,0.0,18.4386,79.1288,2024,7121,5,151,0.49999999999999994,-0.8660254037844387,4947.72,4857.63,5014.35,4980.27,41.35,0.0,93.10494255715781,108.90006456200635,48.8000013,0.0,0.7114632776295464,1
2024-05-31,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4926.71,5041.25,4983.84,54.4,41.9,29.6,0.0,0.0,18.4386,79.1288,2024,7121,5,152,0.49999999999999994,-0.8660254037844387,5066.33,4921.31,4966.26,4784.54,41.7,0.0,90.1597322745013,101.86821411910607,48.8000013,0.0,0.6998792304451622,1
2024-06-01,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5095.76,5226.09,5171.5,27.01,40.4,30.85,0.8,0.8,18.4386,79.1288,2024,7121,6,153,1.2246467991473532e-16,-1.0,4983.84,4933.93,4933.26,5089.68,40.75,0.0,110.95354025554252,105.51122000804537,49.6000013,0.0,0.7262322707484904,1
2024-06-02,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4859.99,5034.58,4910.43,11.88,37.7,26.8,18.399998,18.399998,18.4386,79.1288,2024,7121,6,154,1.2246467991473532e-16,-1.0,5171.5,5124.32,4802.18,5067.74,40.95,0.0,105.7630861879524,105.83775141886872,67.9999993,0.0,0.6895702850723213,1
2024-06-03,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4978.91,5164.25,5061.93,12.32,35.8,25.9,1.1,1.1,18.4386,79.1288,2024,7121,6,155,1.2246467991473532e-16,-1.0,4910.43,4848.25,4965.53,5035.01,41.75,0.0,88.73724788331556,106.32076801321315,69.09999930000001,0.0,0.7108453868838647,1
