date,state,district,market,commodity,min_price,max_price,modal_price,arrival_quantity,source,temperature_max,temperature_min,precipitation,rain,latitude,longitude,year,msp_price
2026-03-16,Telangana,Nalgonda,Nalgonda Mandi,Maize,4895.8,5113.61,4995.12,69.79,gov_data,,,,,,,2026,
2026-03-16,Telangana,Nizamabad,Nizamabad Mandi,Maize,4801.52,5001.95,4922.15,30.48,gov_data,,,,,,,2026,
2026-03-16,Telangana,Warangal,Warangal Mandi,Maize,4784.94,5024.95,4899.38,23.48,gov_data,,,,,,,2026,
2026-03-16,Telangana,Karimnagar,Karimnagar Mandi,Red Gram,4853.31,5015.03,4919.96,70.02,gov_data,,,,,,,2026,
2026-03-16,Telangana,Khammam,Khammam Mandi,Red Gram,4893.26,5098.35,4969.9,27.87,gov_data,,,,,,,2026,
2026-03-16,Telangana,Nalgonda,Nalgonda Mandi,Red Gram,4952.17,5130.7,5059.74,88.84,gov_data,,,,,,,2026,
2026-03-16,Telangana,Nizamabad,Nizamabad Mandi,Red Gram,4846.36,5050.54,4941.3,76.99,gov_data,,,,,,,2026,
2026-03-16,Telangana,Warangal,Warangal Mandi,Red Gram,5025.91,5271.37,5143.03,44.75,gov_data,,,,,,,2026,
2026-03-16,Telangana,Karimnagar,Karimnagar Mandi,Rice,1950.65,2169.1,2041.29,37.38,gov_data,,,,,,,2026,
2026-03-16,Telangana,Khammam,Khammam Mandi,Rice,1938.12,2151.69,2037.47,16.7,gov_data,,,,,,,2026,
2026-03-16,Telangana,Nalgonda,Nalgonda Mandi,Rice,1700.16,1912.79,1767.42,12.56,gov_data,,,,,,,2026,
2026-03-16,Telangana,Nizamabad,Nizamabad Mandi,Rice,2043.96,2253.75,2121.11,46.18,gov_data,,,,,,,2026,
2026-03-16,Telangana,Warangal,Warangal Mandi,Rice,1883.46,2100.61,1953.93,55.12,gov_data,,,,,,,2026,
2026-03-15,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4911.46,5108.66,5030.68,21.17,gov_data,,,,,,,2026,
2026-03-15,Telangana,Khammam,Khammam Mandi,Cotton,4863.68,5045.21,4977.65,39.95,gov_data,,,,,,,2026,
2026-03-15,Telangana,Nalgonda,Nalgonda Mandi,Cotton,4942.46,5176.4,5031.92,16.39,gov_data,,,,,,,2026,
2026-03-15,Telangana,Nizamabad,Nizamabad Mandi,Cotton,4862.46,5100.76,4952.23,70.65,gov_data,,,,,,,2026,
2026-03-15,Telangana,Warangal,Warangal Mandi,Cotton,4929.39,5147.1,5077.85,70.63,gov_data,,,,,,,2026,
2026-03-15,Telangana,Karimnagar,Karimnagar Mandi,Maize,4681.23,4910.76,4810.23,11.38,gov_data,,,,,,,2026,
2026-03-15,Telangana,Khammam,Khammam Mandi,Maize,5044.83,5257.44,5134.64,65.05,gov_data,,,,,,,2026,
2026-03-15,Telangana,Nalgonda,Nalgonda Mandi,Maize,5002.59,5174.69,5111.1,71.81,gov_data,,,,,,,2026,
2026-03-15,Telangana,Nizamabad,Nizamabad Mandi,Maize,4896.4,5136.55,5030.26,46.19,gov_data,,,,,,,2026,
2026-03-15,Telangana,Warangal,Warangal Mandi,Maize,4915.42,5084.85,5012.73,98.41,gov_data,,,,,,,2026,
2026-03-15,Telangana,Karimnagar,Karimnagar Mandi,Red Gram,4937.57,5137.62,5032.53,20.35,gov_data,,,,,,,2026,
2026-03-15,Telangana,Khammam,Khammam Mandi,Red Gram,4897.3,5157.13,5020.03,77.0,gov_data,,,,,,,2026,
2026-03-15,Telangana,Nalgonda,Nalgonda Mandi,Red Gram,4914.4,5110.22,5018.36,41.31,gov_data,,,,,,,2026,
2026-03-15,Telangana,Nizamabad,Nizamabad Mandi,Red Gram,4979.17,5181.39,5068.35,66.12,gov_data,,,,,,,2026,
2026-03-15,Telangana,Warangal,Warangal Mandi,Red Gram,4939.47,5118.61,5006.58,58.99,gov_data,,,,,,,2026,
2026-03-15,Telangana,Karimnagar,Karimnagar Mandi,Rice,1979.44,2173.81,2078.83,25.95,gov_data,,,,,,,2026,
2026-03-15,Telangana,Khammam,Khammam Mandi,Rice,1834.1,2083.71,1956.09,31.72,gov_data,,,,,,,2026,
2026-03-15,Telangana,Nalgonda,Nalgonda Mandi,Rice,1944.43,2165.29,2055.49,77.65,gov_data,,,,,,,2026,
2026-03-15,Telangana,Nizamabad,Nizamabad Mandi,Rice,1904.28,2063.2,1981.14,47.19,gov_data,,,,,,,2026,
2026-03-15,Telangana,Warangal,Warangal Mandi,Rice,1773.43,1903.81,1851.27,18.35,gov_data,,,,,,,2026,
2026-03-14,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4943.48,5081.51,4994.64,37.59,gov_data,,,,,,,2026,
2026-03-14,Telangana,Khammam,Khammam Mandi,Cotton,4928.69,5166.19,5035.3,40.45,gov_data,,,,,,,2026,
2026-03-14,Telangana,Nalgonda,Nalgonda Mandi,Cotton,4892.05,5159.34,5024.76,74.85,gov_data,,,,,,,2026,
2026-03-14,Telangana,Nizamabad,Nizamabad Mandi,Cotton,4967.76,5204.57,5081.41,78.88,gov_data,,,,,,,2026,
2026-03-14,Telangana,Warangal,Warangal Mandi,Cotton,5013.36,5213.46,5076.63,82.61,gov_data,,,,,,,2026,
2026-03-14,Telangana,Karimnagar,Karimnagar Mandi,Maize,4887.84,5043.88,4989.11,88.15,gov_data,,,,,,,2026,
2026-03-14,Telangana,Khammam,Khammam Mandi,Maize,4842.41,5034.06,4958.9,92.15,gov_data,,,,,,,2026,
2026-03-14,Telangana,Nalgonda,Nalgonda Mandi,Maize,4722.63,4957.95,4826.84,46.82,gov_data,,,,,,,2026,
2026-03-14,Telangana,Nizamabad,Nizamabad Mandi,Maize,4883.69,5138.07,5030.66,74.27,gov_data,,,,,,,2026,
2026-03-14,Telangana,Warangal,Warangal Mandi,Maize,4932.07,5194.96,5081.89,19.65,gov_data,,,,,,,2026,
2026-03-14,Telangana,Karimnagar,Karimnagar Mandi,Red Gram,4981.8,5140.14,5050.78,39.3,gov_data,,,,,,,2026,
2026-03-14,Telangana,Khammam,Khammam Mandi,Red Gram,4909.58,5076.32,5014.15,51.13,gov_data,,,,,,,2026,
2026-03-14,Telangana,Nalgonda,Nalgonda Mandi,Red Gram,4821.83,4984.93,4929.9,58.24,gov_data,,,,,,,2026,
2026-03-14,Telangana,Nizamabad,Nizamabad Mandi,Red Gram,5054.62,5200.52,5111.72,13.97,gov_data,,,,,,,2026,
2026-03-14,Telangana,Warangal,Warangal Mandi,Red Gram,4944.71,5092.29,5001.18,77.13,gov_data,,,,,,,2026,
2026-03-14,Telangana,Karimnagar,Karimnagar Mandi,Rice,1828.11,2057.88,1947.69,69.67,gov_data,,,,,,,2026,
2026-03-14,Telangana,Khammam,Khammam Mandi,Rice,1773.11,1924.12,1867.29,69.94,gov_data,,,,,,,2026,
2026-03-14,Telangana,Nalgonda,Nalgonda Mandi,Rice,1797.48,1996.92,1873.98,66.53,gov_data,,,,,,,2026,
2026-03-14,Telangana,Nizamabad,Nizamabad Mandi,Rice,1985.02,2195.37,2051.51,91.76,gov_data,,,,,,,2026,
2026-03-14,Telangana,Warangal,Warangal Mandi,Rice,1889.2,2095.83,2018.88,34.44,gov_data,,,,,,,2026,
2026-03-13,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4975.54,5172.98,5025.86,94.23,gov_data,,,,,,,2026,
2026-03-13,Telangana,Khammam,Khammam Mandi,Cotton,4923.78,5148.02,5040.29,56.71,gov_data,,,,,,,2026,
2026-03-13,Telangana,Nalgonda,Nalgonda Mandi,Cotton,4880.82,5134.56,5008.06,42.72,gov_data,,,,,,,2026,
2026-03-13,Telangana,Nizamabad,Nizamabad Mandi,Cotton,4968.29,5141.0,5025.64,26.28,gov_data,,,,,,,2026,
2026-03-13,Telangana,Warangal,Warangal Mandi,Cotton,4809.06,5015.96,4927.47,40.35,gov_data,,,,,,,2026,
2026-03-13,Telangana,Karimnagar,Karimnagar Mandi,Maize,4749.61,4900.28,4812.9,58.04,gov_data,,,,,,,2026,
2026-03-13,Telangana,Khammam,Khammam Mandi,Maize,5027.74,5166.94,5088.27,94.08,gov_data,,,,,,,2026,
2026-03-13,Telangana,Nalgonda,Nalgonda Mandi,Maize,4985.61,5194.36,5063.85,87.04,gov_data,,,,,,,2026,
2026-03-13,Telangana,Nizamabad,Nizamabad Mandi,Maize,4981.66,5157.26,5040.42,51.84,gov_data,,,,,,,2026,
2026-03-13,Telangana,Warangal,Warangal Mandi,Maize,4923.75,5052.85,4987.39,70.45,gov_data,,,,,,,2026,
2026-03-13,Telangana,Karimnagar,Karimnagar Mandi,Red Gram,5081.69,5299.06,5175.82,25.2,gov_data,,,,,,,2026,
2026-03-13,Telangana,Khammam,Khammam Mandi,Red Gram,5013.97,5208.5,5075.84,14.38,gov_data,,,,,,,2026,
2026-03-13,Telangana,Nalgonda,Nalgonda Mandi,Red Gram,4817.17,4965.39,4908.49,51.15,gov_data,,,,,,,2026,
2026-03-13,Telangana,Nizamabad,Nizamabad Mandi,Red Gram,4844.78,5051.71,4959.56,93.23,gov_data,,,,,,,2026,
2026-03-13,Telangana,Warangal,Warangal Mandi,Red Gram,5094.86,5265.35,5152.21,99.57,gov_data,,,,,,,2026,
2026-03-13,Telangana,Karimnagar,Karimnagar Mandi,Rice,1807.66,2033.2,1911.91,92.3,gov_data,,,,,,,2026,
2026-03-13,Telangana,Khammam,Khammam Mandi,Rice,2061.39,2317.05,2183.9,89.75,gov_data,,,,,,,2026,
2026-03-13,Telangana,Nalgonda,Nalgonda Mandi,Rice,1900.86,2114.68,2029.88,41.84,gov_data,,,,,,,2026,
2026-03-13,Telangana,Nizamabad,Nizamabad Mandi,Rice,1731.08,1903.24,1800.7,77.0,gov_data,,,,,,,2026,
2026-03-13,Telangana,Warangal,Warangal Mandi,Rice,1997.51,2119.04,2051.95,65.98,gov_data,,,,,,,2026,
2026-03-12,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5061.03,5190.42,5122.03,36.4,gov_data,,,,,,,2026,
2026-03-12,Telangana,Khammam,Khammam Mandi,Cotton,4847.08,5047.58,4959.65,64.4,gov_data,,,,,,,2026,
2026-03-12,Telangana,Nalgonda,Nalgonda Mandi,Cotton,4888.61,5142.43,5017.84,59.6,gov_data,,,,,,,2026,
2026-03-12,Telangana,Nizamabad,Nizamabad Mandi,Cotton,5098.44,5243.54,5178.99,29.56,gov_data,,,,,,,2026,
2026-03-12,Telangana,Warangal,Warangal Mandi,Cotton,4857.59,5014.11,4917.01,86.91,gov_data,,,,,,,2026,
2026-03-12,Telangana,Karimnagar,Karimnagar Mandi,Maize,5009.46,5242.27,5128.95,49.35,gov_data,,,,,,,2026,
2026-03-12,Telangana,Khammam,Khammam Mandi,Maize,4879.66,5015.03,4944.49,75.28,gov_data,,,,,,,2026,
2026-03-12,Telangana,Nalgonda,Nalgonda Mandi,Maize,4993.79,5213.33,5123.6,97.73,gov_data,,,,,,,2026,
2026-03-12,Telangana,Nizamabad,Nizamabad Mandi,Maize,4901.82,5140.55,5046.29,44.89,gov_data,,,,,,,2026,
2026-03-12,Telangana,Warangal,Warangal Mandi,Maize,4792.25,5025.0,4900.95,52.0,gov_data,,,,,,,2026,
2026-03-12,Telangana,Karimnagar,Karimnagar Mandi,Red Gram,4813.87,4956.56,4887.14,75.28,gov_data,,,,,,,2026,
2026-03-12,Telangana,Khammam,Khammam Mandi,Red Gram,4977.94,5193.51,5083.37,95.6,gov_data,,,,,,,2026,
2026-03-12,Telangana,Nalgonda,Nalgonda Mandi,Red Gram,4994.82,5239.68,5109.91,88.56,gov_data,,,,,,,2026,
2026-03-12,Telangana,Nizamabad,Nizamabad Mandi,Red Gram,4885.66,5066.54,5008.39,84.98,gov_data,,,,,,,2026,
2026-03-12,Telangana,Warangal,Warangal Mandi,Red Gram,4914.49,5037.53,4983.58,40.62,gov_data,,,,,,,2026,
2026-03-12,Telangana,Karimnagar,Karimnagar Mandi,Rice,1934.07,2101.93,1998.66,21.05,gov_data,,,,,,,2026,
2026-03-12,Telangana,Khammam,Khammam Mandi,Rice,1846.82,2065.02,1979.43,49.81,gov_data,,,,,,,2026,
2026-03-12,Telangana,Nalgonda,Nalgonda Mandi,Rice,1998.7,2158.14,2105.41,88.59,gov_data,,,,,,,2026,
2026-03-12,Telangana,Nizamabad,Nizamabad Mandi,Rice,1871.42,2124.05,2009.46,79.54,gov_data,,,,,,,2026,
2026-03-12,Telangana,Warangal,Warangal Mandi,Rice,1852.05,2041.13,1966.03,52.88,gov_data,,,,,,,2026,
2026-03-11,Telangana,Karimnagar,Karimnagar Mandi,Cotton,5084.25,5260.84,5195.34,31.37,gov_data,,,,,,,2026,
2026-03-11,Telangana,Khammam,Khammam Mandi,Cotton,4989.74,5147.23,5074.25,83.24,gov_data,,,,,,,2026,
2026-03-11,Telangana,Nalgonda,Nalgonda Mandi,Cotton,4864.97,5057.4,4955.79,59.61,gov_data,,,,,,,2026,
2026-03-11,Telangana,Nizamabad,Nizamabad Mandi,Cotton,5008.96,5139.93,5059.01,72.35,gov_data,,,,,,,2026,
2026-03-11,Telangana,Warangal,Warangal Mandi,Cotton,4826.81,4971.0,4911.35,88.27,gov_data,,,,,,,2026,
2026-03-11,Telangana,Karimnagar,Karimnagar Mandi,Maize,4810.24,5001.02,4903.83,74.98,gov_data,,,,,,,2026,
2026-03-11,Telangana,Khammam,Khammam Mandi,Maize,4871.53,5122.06,4984.49,96.06,gov_data,,,,,,,2026,
2026-03-11,Telangana,Nalgonda,Nalgonda Mandi,Maize,4795.16,5048.78,4923.99,83.86,gov_data,,,,,,,2026,
2026-03-11,Telangana,Nizamabad,Nizamabad Mandi,Maize,4966.68,5206.65,5092.64,85.97,gov_data,,,,,,,2026,
2026-03-11,Telangana,Warangal,Warangal Mandi,Maize,4793.54,4976.56,4903.9,60.52,gov_data,,,,,,,2026,
2026-03-11,Telangana,Karimnagar,Karimnagar Mandi,Red Gram,4939.1,5214.02,5064.41,16.17,gov_data,,,,,,,2026,
2026-03-11,Telangana,Khammam,Khammam Mandi,Red Gram,4908.02,5073.8,5004.36,91.63,gov_data,,,,,,,2026,
2026-03-11,Telangana,Nalgonda,Nalgonda Mandi,Red Gram,4837.33,5047.33,4971.18,89.19,gov_data,,,,,,,2026,
2026-03-11,Telangana,Nizamabad,Nizamabad Mandi,Red Gram,5060.15,5198.63,5126.57,92.14,gov_data,,,,,,,2026,
2026-03-11,Telangana,Warangal,Warangal Mandi,Red Gram,4794.63,4992.92,4869.31,56.53,gov_data,,,,,,,2026,
2026-03-11,Telangana,Karimnagar,Karimnagar Mandi,Rice,1929.72,2043.46,1985.92,85.02,gov_data,,,,,,,2026,
2026-03-11,Telangana,Khammam,Khammam Mandi,Rice,2038.75,2266.62,2149.35,31.05,gov_data,,,,,,,2026,
2026-03-11,Telangana,Nalgonda,Nalgonda Mandi,Rice,2034.19,2176.07,2102.33,53.03,gov_data,,,,,,,2026,
2026-03-11,Telangana,Nizamabad,Nizamabad Mandi,Rice,1952.06,2109.09,2052.35,70.79,gov_data,,,,,,,2026,
2026-03-11,Telangana,Warangal,Warangal Mandi,Rice,2177.34,2334.72,2261.59,28.12,gov_data,,,,,,,2026,
2026-03-10,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4842.01,5094.7,4985.32,10.72,gov_data,,,,,,,2026,
2026-03-10,Telangana,Khammam,Khammam Mandi,Cotton,4814.62,4994.63,4922.54,79.4,gov_data,,,,,,,2026,
2026-03-10,Telangana,Nalgonda,Nalgonda Mandi,Cotton,4938.6,5117.43,5003.9,37.9,gov_data,,,,,,,2026,
2026-03-10,Telangana,Nizamabad,Nizamabad Mandi,Cotton,4968.03,5194.55,5063.29,17.12,gov_data,,,,,,,2026,
2026-03-10,Telangana,Warangal,Warangal Mandi,Cotton,5069.65,5322.66,5186.52,95.05,gov_data,,,,,,,2026,
2026-03-10,Telangana,Karimnagar,Karimnagar Mandi,Maize,4969.3,5143.69,5087.09,83.87,gov_data,,,,,,,2026,
2026-03-10,Telangana,Khammam,Khammam Mandi,Maize,4876.96,5121.16,5007.36,87.07,gov_data,,,,,,,2026,
2026-03-10,Telangana,Nalgonda,Nalgonda Mandi,Maize,4828.16,5044.57,4948.47,20.84,gov_data,,,,,,,2026,
2026-03-10,Telangana,Nizamabad,Nizamabad Mandi,Maize,4794.51,5036.67,4944.06,99.55,gov_data,,,,,,,2026,
2026-03-10,Telangana,Warangal,Warangal Mandi,Maize,4955.04,5145.65,5067.5,13.09,gov_data,,,,,,,2026,
2026-03-10,Telangana,Karimnagar,Karimnagar Mandi,Red Gram,4957.56,5108.87,5020.15,96.5,gov_data,,,,,,,2026,
2026-03-10,Telangana,Khammam,Khammam Mandi,Red Gram,4931.23,5092.03,4983.45,68.11,gov_data,,,,,,,2026,
2026-03-10,Telangana,Nalgonda,Nalgonda Mandi,Red Gram,4903.35,5120.0,5036.03,11.01,gov_data,,,,,,,2026,
2026-03-10,Telangana,Nizamabad,Nizamabad Mandi,Red Gram,5023.35,5239.45,5162.75,25.55,gov_data,,,,,,,2026,
2026-03-10,Telangana,Warangal,Warangal Mandi,Red Gram,4950.92,5112.92,5024.87,11.37,gov_data,,,,,,,2026,
2026-03-10,Telangana,Karimnagar,Karimnagar Mandi,Rice,1918.71,2168.77,2054.63,90.4,gov_data,,,,,,,2026,
2026-03-10,Telangana,Khammam,Khammam Mandi,Rice,1920.14,2041.28,1970.35,93.71,gov_data,,,,,,,2026,
2026-03-10,Telangana,Nalgonda,Nalgonda Mandi,Rice,1988.39,2146.92,2039.67,32.79,gov_data,,,,,,,2026,
2026-03-10,Telangana,Nizamabad,Nizamabad Mandi,Rice,1941.4,2134.59,2068.22,68.82,gov_data,,,,,,,2026,
2026-03-10,Telangana,Warangal,Warangal Mandi,Rice,1685.34,1979.62,1835.17,22.47,gov_data,,,,,,,2026,
2026-03-09,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4845.56,5121.5,4976.05,79.46,gov_data,,,,,,,2026,
2026-03-09,Telangana,Khammam,Khammam Mandi,Cotton,4847.52,5049.76,4916.67,92.05,gov_data,,,,,,,2026,
2026-03-09,Telangana,Nalgonda,Nalgonda Mandi,Cotton,4904.2,5164.8,5021.72,28.28,gov_data,,,,,,,2026,
2026-03-09,Telangana,Nizamabad,Nizamabad Mandi,Cotton,5067.44,5313.32,5174.44,80.63,gov_data,,,,,,,2026,
2026-03-09,Telangana,Warangal,Warangal Mandi,Cotton,4884.99,5093.57,5016.19,10.86,gov_data,,,,,,,2026,
2026-03-09,Telangana,Karimnagar,Karimnagar Mandi,Maize,4832.36,4978.31,4914.09,84.79,gov_data,,,,,,,2026,
2026-03-09,Telangana,Khammam,Khammam Mandi,Maize,4793.13,4980.43,4909.24,99.12,gov_data,,,,,,,2026,
2026-03-09,Telangana,Nalgonda,Nalgonda Mandi,Maize,4829.32,5016.55,4934.84,45.4,gov_data,,,,,,,2026,
2026-03-09,Telangana,Nizamabad,Nizamabad Mandi,Maize,4848.3,5016.04,4951.09,43.95,gov_data,,,,,,,2026,
2026-03-09,Telangana,Warangal,Warangal Mandi,Maize,4906.1,5093.81,5016.78,11.86,gov_data,,,,,,,2026,
2026-03-09,Telangana,Karimnagar,Karimnagar Mandi,Red Gram,4907.55,5038.08,4967.53,86.96,gov_data,,,,,,,2026,
2026-03-09,Telangana,Khammam,Khammam Mandi,Red Gram,4794.78,4937.11,4871.14,49.55,gov_data,,,,,,,2026,
2026-03-09,Telangana,Nalgonda,Nalgonda Mandi,Red Gram,4810.45,4998.79,4916.77,38.44,gov_data,,,,,,,2026,
2026-03-09,Telangana,Nizamabad,Nizamabad Mandi,Red Gram,4718.52,4944.64,4853.78,76.4,gov_data,,,,,,,2026,
2026-03-09,Telangana,Warangal,Warangal Mandi,Red Gram,5053.11,5200.82,5129.29,73.22,gov_data,,,,,,,2026,
2026-03-09,Telangana,Karimnagar,Karimnagar Mandi,Rice,1678.79,1917.85,1815.25,66.75,gov_data,,,,,,,2026,
2026-03-09,Telangana,Khammam,Khammam Mandi,Rice,1832.74,2026.16,1953.89,35.5,gov_data,,,,,,,2026,
2026-03-09,Telangana,Nalgonda,Nalgonda Mandi,Rice,1885.44,2148.47,2033.78,75.78,gov_data,,,,,,,2026,
2026-03-09,Telangana,Nizamabad,Nizamabad Mandi,Rice,1890.44,2125.43,2000.85,52.2,gov_data,,,,,,,2026,
2026-03-09,Telangana,Warangal,Warangal Mandi,Rice,1942.39,2172.5,2063.4,41.61,gov_data,,,,,,,2026,
2026-03-08,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4998.67,5170.51,5049.56,64.04,gov_data,,,,,,,2026,
2026-03-08,Telangana,Khammam,Khammam Mandi,Cotton,4990.04,5156.91,5050.36,59.11,gov_data,,,,,,,2026,
2026-03-08,Telangana,Nalgonda,Nalgonda Mandi,Cotton,4812.4,4926.04,4870.33,81.51,gov_data,,,,,,,2026,
2026-03-08,Telangana,Nizamabad,Nizamabad Mandi,Cotton,4797.49,4949.35,4896.65,27.82,gov_data,,,,,,,2026,
2026-03-08,Telangana,Warangal,Warangal Mandi,Cotton,4822.82,4975.36,4911.22,91.85,gov_data,,,,,,,2026,
2026-03-08,Telangana,Karimnagar,Karimnagar Mandi,Maize,4849.79,5077.89,4970.03,57.12,gov_data,,,,,,,2026,
2026-03-08,Telangana,Khammam,Khammam Mandi,Maize,4806.45,5006.5,4941.38,57.7,gov_data,,,,,,,2026,
2026-03-08,Telangana,Nalgonda,Nalgonda Mandi,Maize,4958.31,5118.27,5056.22,31.27,gov_data,,,,,,,2026,
2026-03-08,Telangana,Nizamabad,Nizamabad Mandi,Maize,4850.2,5061.21,4977.35,56.67,gov_data,,,,,,,2026,
2026-03-08,Telangana,Warangal,Warangal Mandi,Maize,4944.13,5066.5,5000.51,88.55,gov_data,,,,,,,2026,
2026-03-08,Telangana,Karimnagar,Karimnagar Mandi,Red Gram,4672.82,4895.04,4820.02,95.15,gov_data,,,,,,,2026,
2026-03-08,Telangana,Khammam,Khammam Mandi,Red Gram,4852.26,5016.79,4947.67,42.52,gov_data,,,,,,,2026,
2026-03-08,Telangana,Nalgonda,Nalgonda Mandi,Red Gram,5213.96,5414.86,5292.42,46.42,gov_data,,,,,,,2026,
2026-03-08,Telangana,Nizamabad,Nizamabad Mandi,Red Gram,4848.07,5097.0,4985.86,29.58,gov_data,,,,,,,2026,
2026-03-08,Telangana,Warangal,Warangal Mandi,Red Gram,4989.06,5161.19,5062.33,80.68,gov_data,,,,,,,2026,
2026-03-08,Telangana,Karimnagar,Karimnagar Mandi,Rice,1832.74,2026.57,1905.74,47.51,gov_data,,,,,,,2026,
2026-03-08,Telangana,Khammam,Khammam Mandi,Rice,1857.27,2066.88,1934.46,69.01,gov_data,,,,,,,2026,
2026-03-08,Telangana,Nalgonda,Nalgonda Mandi,Rice,1864.86,2018.43,1962.77,87.18,gov_data,,,,,,,2026,
2026-03-08,Telangana,Nizamabad,Nizamabad Mandi,Rice,1828.57,1994.19,1886.09,75.27,gov_data,,,,,,,2026,
2026-03-08,Telangana,Warangal,Warangal Mandi,Rice,1978.21,2183.93,2046.57,77.56,gov_data,,,,,,,2026,
2026-03-07,Telangana,Karimnagar,Karimnagar Mandi,Cotton,4925.23,5142.15,5035.05,43.25,gov_data,,,,,,,2026,
2026-03-07,Telangana,Khammam,Khammam Mandi,Cotton,5006.51,5138.99,5077.91,40.59,gov_data,,,,,,,2026,
2026-03-07,Telangana,Nalgonda,Nalgonda Mandi,Cotton,4936.44,5223.43,5076.88,82.08,gov_data,,,,,,,2026,
2026-03-07,Telangana,Nizamabad,Nizamabad Mandi,Cotton,4729.91,4936.82,4865.2,31.53,gov_data,,,,,,,2026,
2026-03-07,Telangana,Warangal,Warangal Mandi,Cotton,5101.74,5285.77,5155.12,37.81,gov_data,,,,,,,2026,
2026-03-07,Telangana,Karimnagar,Karimnagar Mandi,Maize,4938.73,5138.98,4993.27,64.93,gov_data,,,,,,,2026,
